User Name,Review,Rating
Cheruangdibo Chawang,At first sight i considered coc as my favourite game but now im fate up as im pro i push my rank upto silver but my town hall level is only 3 but when i go for attack i encounter only with town hall level 6 opponent .. Soo lets uninstall it and redownload if next update change that though high rank matching should be with same town hall level,1
Aman Zaheer,OWj,5
Kanishk Krish,It's a great game with great concept but it would be great if they added back the global chat feature. It made the game feel more alive,5
Vindhyachal Sharma,"It's a good game but when it comes to help and support for supercell linked acc recovery,mostly no their is always a chatbot fire with no hope of recovery many of my accs have been vanished but their was no help by the supercell community.Most of ours accs are lost.So please try to give a P2P chat then actual chatbot and end the loops of help and support open all its redirects to self.. Still a good game keep going always with u .But make sure that this suggestion may be implemented.",3
Krishna Kumar,"Hey COC Team, Can you add an update where we can turn on/off spectate option?? When it's ON, clan members can spectate our normal loot attacks, but when it's disabled, they can't.",5
ROZAR VELEN,Bachpan ki yaadein is main hain,5
ghiath Mryy99,Good game,5
SHAKIB MRIDHA,Nice ❤️,5
Ranvijay singh,nice favourite time taken game ❤️,5
Aldaid Lara,Love this game,5
Kathryn Thomas,It would be nice if google play would work with a indiviual person .That when you put money on google accout you can spend it on clash account. Without getting error.,2
Mr Cheese,Nice 🧀,5
Tabassum A shaikh Shaikh,It is Interesting game,5
Ann Skaife,Legendary nothing to say but Legendary,5
Numero Uno,For war,5
Paul Buchanan,Fun game,5
Alex Imburgia,It's great it's fun it has a lot of content,5
Krishna Devi,Give 5000 gems please I am vlog middle class family,5
Shadow King,Op,1
Emmy Rodriguez Harris,This game is amazing. It had so many ways to play. There is not a lot of pay to wins.,5
Samuel Graves McEwan,help me,5
Sam,Good,5
Hanu Khajuria,Pubg and coc both,5
Houdini Doobie,It is great,5
Ezekial Bara,Hey guys I love to play this game and now for so long I fell it must get 10 🌟!!! and u guys must play this game it is like a feriendly game and most good thing u could talk with your friends and it could be ur class or some other type of clan just for u,5
K9kid,Fun and not really pay to win. It's a game where you NEED patience unless you want to go in debt. You can make your village in so many different ways to make it perfect for you. Would recommend if your looking for a game that will take 2 years+ to max out.,5
Saw Aung,ဆော့တာတော့ကောင်းတယ် ပျင်းပို့လည်းကောင်းတယ် 😁😁,5
محمدرضا رسولی,عالی,5
Swapnil Bhingare,🤩🤩🤩🤩🤩🤩🤩,5
Pulak Halder,Super,4
jake rana,best game ever,5
Jacob Zigon,Goated,5
KUNAL PARTEKI,Clash of clans hack green tokan,4
Aman Thakur,NYC,5
Ronnie Hora,i love this game.,5
Jacob Tapia,Good,5
mdrokon mdrokon,Rt,3
Peter Hodge,Fun,5
MosesBros Family Gaming,An amazing stragetegy game would recommend 👌,5
Nandan MGowda,Superrrrrřrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,4
Mani Balidh,Very good,5
Konain Butt,This game is fun to play,5
Jaeden Dumas,"2 stars and a half. Not my favorite, its just a waiting game training troops is rediculously long.",2
Tyler Dixon,I love playing the game but can you had some type of underground base,5
Nick ejangpo Mlbb,Ng mak k,4
Aj David,Stuck in loading page so uninstalled it. fix the bug quick,1
Joffin Anburaj,The only thing i need in this game is private chat with my friend,5
noor kakar,Google play game,5
arman bah,فوق العادس,5
sefali sarkar,"Badiya time pass hai,6 saal se krra hu mai",5
AYUSH MITTAL,This is pro game wow i like it,5
Dhany Dhany,Hi im dhany coc is op,5
Harshit Gupta,Good game,3
Aisé,Forceclose cant open the game reinstalled a few times dunno the problem,1
sya cool,awesome,5
Siyam Khan,Excellent ❤️❤️❤️,5
Raman Chandan,Old but Gold,5
Thomas Ritchie,Very good game,5
